MET2013,ai_exposure_wtd_avg,perwt_with_score,n_workers,perwt_total_all,perwt_coverage_pct,n_workers_all,n_coverage_pct
38940,-0.26365531751405363,172020.0,6085,189633.0,90.71,6718,90.58
27500,-0.26427752314243746,66286.0,2607,72331.0,91.64,2846,91.6
15940,-0.26545170796579903,162406.0,7851,179571.0,90.44,8669,90.56
25940,-0.2668740213278294,81225.0,3193,90764.0,89.49,3647,87.55
40420,-0.26876062720643984,132530.0,5841,146761.0,90.3,6466,90.33
19460,-0.2688441705043118,52639.0,2358,58126.0,90.56,2618,90.07
43340,-0.26920422953287504,150977.0,6383,168642.0,89.53,7133,89.49
27100,-0.27049156673996716,56943.0,2512,62481.0,91.14,2757,91.11
47380,-0.27594947249726426,98048.0,5534,106350.0,92.19,6046,91.53
32780,-0.2760927036294329,80886.0,3444,88537.0,91.36,3760,91.6
37620,-0.27629719503299305,35282.0,1846,38202.0,92.36,2007,91.98
20700,-0.28160486140364427,68883.0,1889,75589.0,91.13,2071,91.21
41660,-0.28353925073144587,47186.0,2210,52996.0,89.04,2510,88.05
36980,-0.2842339007721921,40999.0,2040,44919.0,91.27,2240,91.07
29180,-0.28545274949279187,202476.0,7998,226669.0,89.33,8992,88.95
22180,-0.2857743984905245,121478.0,6363,151035.0,80.43,7899,80.55
36140,-0.28699116472027714,43005.0,2693,47472.0,90.59,3000,89.77
20100,-0.2870107972852595,71283.0,3027,78703.0,90.57,3374,89.72
19500,-0.28870000363554443,39988.0,2417,44344.0,90.18,2653,91.1
41540,-0.29014260007884013,157259.0,8018,172131.0,91.36,8804,91.07
39820,-0.2909662572385173,65047.0,3570,70708.0,91.99,3892,91.73
21140,-0.2911589258424926,77125.0,3160,84476.0,91.3,3482,90.75
24020,-0.2914997368143916,52319.0,3257,56592.0,92.45,3530,92.27
34620,-0.29181946535096415,46395.0,2117,50261.0,92.31,2317,91.37
25500,-0.29634487784571056,55014.0,3123,59910.0,91.83,3421,91.29
0,-0.2964447842664149,26042121.0,1493383,28570964.0,91.15,1641610,90.97
40980,-0.2985243729697077,70293.0,3417,76776.0,91.56,3757,90.95
46340,-0.30054862938827115,87896.0,3859,96213.0,91.36,4234,91.14
46220,-0.304258765825608,86846.0,3506,95227.0,91.2,3856,90.92
44220,-0.3071023160883423,51789.0,2943,56244.0,92.08,3191,92.23
29740,-0.3132134695712964,77921.0,2414,84822.0,91.86,2650,91.09
27180,-0.31383600622607716,41040.0,2011,45430.0,90.34,2252,89.3
15980,-0.3141886427754852,271287.0,12656,296874.0,91.38,13910,90.98
23420,-0.3168838519083106,340261.0,15451,374120.0,90.95,17007,90.85
